log_file,task_name,phase,scenario_name,heuristic_score,heuristic_passed,judge_a_model,judge_a_score,judge_a_passed,judge_b_model,judge_b_score,judge_b_passed
coding_task__r06_m01__sideA__three_day_tournament__factorial_baseline__run1__7e952bc4.json,coding_task,three_day_tournament,factorial_baseline,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_baseline_extra__combined_d0000_loss0_j000__run9__edba88de.json,coding_task,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_combined_sample__combined_d0250_loss50_j010__run1__7abc4611.json,coding_task,three_day_combined_sample,combined_d0250_loss50_j010,4,True,qwen3:8b,5,True,llama3.1:8b,5,True
coding_task__three_day_main_effect__main_jitter_j015__run2__e14b5624.json,coding_task,three_day_main_effect,main_jitter_j015,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__r01_m04__sideB__three_day_tournament__factorial_delay__run1__2c5cc1a6.json,data_analysis,three_day_tournament,factorial_delay,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_baseline_extra__combined_d0000_loss0_j000__run13__8b175585.json,data_analysis,three_day_baseline_extra,combined_d0000_loss0_j000,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
data_analysis__three_day_combined_sample__combined_d0500_loss20_j015__run1__433d1740.json,data_analysis,three_day_combined_sample,combined_d0500_loss20_j015,5,True,qwen3:8b,5,True,llama3.1:8b,5,True
data_analysis__three_day_main_effect__main_loss_loss15__run4__b465cb4e.json,data_analysis,three_day_main_effect,main_loss_loss15,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__r03_m04__sideA__three_day_tournament__factorial_jitter__run1__d847b910.json,planning_decision,three_day_tournament,factorial_jitter,4,True,qwen3:8b,3,False,llama3.1:8b,5,True
planning_decision__three_day_baseline_extra__combined_d0000_loss0_j000__run12__797dc2af.json,planning_decision,three_day_baseline_extra,combined_d0000_loss0_j000,4,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_combined_sample__combined_d0600_loss50_j010__run1__49561548.json,planning_decision,three_day_combined_sample,combined_d0600_loss50_j010,4,True,qwen3:8b,4,True,llama3.1:8b,5,True
planning_decision__three_day_main_effect__main_delay_d0400__run1__99dae85d.json,planning_decision,three_day_main_effect,main_delay_d0400,5,True,qwen3:8b,4,True,llama3.1:8b,5,True
research_summary__r04_m02__sideA__three_day_tournament__factorial_delay_jitter__run1__c6b798de.json,research_summary,three_day_tournament,factorial_delay_jitter,5,True,qwen3:8b,3,False,llama3.1:8b,5,True
research_summary__three_day_baseline_extra__combined_d0000_loss0_j000__run5__3630a40e.json,research_summary,three_day_baseline_extra,combined_d0000_loss0_j000,3,False,qwen3:8b,,,llama3.1:8b,5,True
research_summary__three_day_combined_sample__combined_d0800_loss50_j025__run1__1b61f60e.json,research_summary,three_day_combined_sample,combined_d0800_loss50_j025,3,False,qwen3:8b,,,llama3.1:8b,5,True
